time,Node Name,CPU Count,Allocated Memory,Node CPU,Node Memory,Node Network Receive,Node Network sent,NameSpace,Deployment Name,Pod Name,Assigned Container CPU,Assigned Container Memory,Pod CPU,Pod Memory,Bytes Received,Bytes Sent
2020-10-06 12:58:48.028106,slave4,1,1883952,0.991472572228584,510260.0,3865.106638302515,11360.152002763687,fedlearn,server,server-559df49f7b-m8vm5,1,700,9.018607954543977e-05,468456.0,0,0
2020-10-06 12:58:50.171893,slave4,1,1883952,0.9918181818181963,510240.0,3890.1636363636367,11571.709090909091,fedlearn,server,server-559df49f7b-m8vm5,1,700,9.018607954543977e-05,468456.0,0,0
2020-10-06 12:58:52.317541,slave4,1,1883952,0.9918181818181963,510240.0,3890.1636363636367,11571.709090909091,fedlearn,server,server-559df49f7b-m8vm5,1,700,9.018607954543977e-05,468456.0,0,0
2020-10-06 12:58:54.934740,slave4,1,1883952,0.9921818181818162,510256.0,3886.8363636363633,11522.454545454544,fedlearn,server,server-559df49f7b-m8vm5,1,700,9.018607954543977e-05,468456.0,0,0
2020-10-06 12:58:57.069605,slave4,1,1883952,0.9921818181818162,510256.0,3886.8363636363633,11522.454545454544,fedlearn,server,server-559df49f7b-m8vm5,1,700,9.018607954543977e-05,468456.0,0,0
2020-10-06 12:58:59.196260,slave4,1,1883952,0.9927272727272617,510272.0,3737.872727272727,11589.672727272728,fedlearn,server,server-559df49f7b-m8vm5,1,700,9.018607954543977e-05,468456.0,0,0
2020-10-06 12:59:01.328579,slave4,1,1883952,0.9927272727272614,510272.0,3737.872727272727,11589.672727272728,fedlearn,server,server-559df49f7b-m8vm5,1,700,9.018607954543977e-05,468456.0,0,0
2020-10-06 12:59:03.448186,slave4,1,1883952,0.9927272727272614,510272.0,3737.872727272727,11589.672727272728,fedlearn,server,server-559df49f7b-m8vm5,1,700,9.018607954543977e-05,468456.0,0,0
2020-10-06 12:59:05.547435,slave4,1,1883952,0.9927453226422194,510832.0,2639.975272277678,10408.189239804358,fedlearn,server,server-559df49f7b-m8vm5,1,700,9.018607954543977e-05,468456.0,0,0
2020-10-06 12:59:07.654925,slave4,1,1883952,0.9927453226422194,510832.0,2639.975272277678,10408.189239804358,fedlearn,server,server-559df49f7b-m8vm5,1,700,8.261423478640721e-05,468456.0,0,0
2020-10-06 12:59:09.770107,slave4,1,1883952,0.9929090909090883,510840.0,2643.2363636363634,10463.436363636363,fedlearn,server,server-559df49f7b-m8vm5,1,700,8.261423478640721e-05,468456.0,0,0
2020-10-06 12:59:11.888771,slave4,1,1883952,0.9929090909090883,510840.0,2643.2363636363634,10463.436363636363,fedlearn,server,server-559df49f7b-m8vm5,1,700,8.261423478640721e-05,468456.0,0,0
